PositionX,PositionY,PositionZ,Pitch,Yaw,Roll,Time
72,40.65,37,0,-0.8660254,0,0
72,40.65,37,0,-0.8660254,0,499
72,40.65,37,0,-0.8660254,0,999
71.40817,40.56862,38.0251,0.05939413,-0.8639863,-0.03429122,1500
70.80824,40.31511,39.06422,0.1204906,-0.8576025,-0.06956528,2007
70.24119,39.90243,40.04638,0.1800234,-0.8471078,-0.1039365,2507
69.71751,39.34734,40.95342,0.2376407,-0.8327826,-0.137202,3001
69.22789,38.63958,41.80146,0.2952211,-0.8141525,-0.1704462,3500
68.78635,37.78897,42.56625,0.3521794,-0.7911823,-0.2033312,4008
68.4146,36.83751,43.21019,0.4065432,-0.7646713,-0.234718,4507
68.11293,35.7928,43.7327,0.4588748,-0.7344614,-0.2649318,5007
67.88685,34.67411,44.12429,0.5089816,-0.7006689,-0.2938615,5507
67.74088,33.50421,44.37714,0.5565776,-0.6634912,-0.3213409,6006
67.88079,34.63653,44.13489,0.5105773,-0.6995071,-0.2947826,6500
68.10898,35.77649,43.73978,0.4596409,-0.733982,-0.2653749,7007
68.40933,36.82191,43.21959,0.4073694,-0.7642312,-0.2351961,7506
